Column1;Unnamed: 0;Tweets;Label
27;27;"Pernah beli, dikasih sama dokter, atau nyimpen obat sirup buat anak-anak di rumah? 

| Narasi Daily https://t.co/HP04jQUZcs";0
28;28;"Kata PSSI dan FIFA, kejadian dalam sepak bola dunia akan selalu ada, tapi sepak bola harus terus berjalan😢

https://t.co/rEbG0QtTub";0
29;29;Tjakeeepps👍🏻👍🏻 Ngerasa gagal, minta maaf, lalu mundur, enggak pake lempar-lempar tanggung jawab, apalagi pake nyala… https://t.co/lblnUVEbT0;0
30;30;"Setelah ditunda karena ((fun football)), Iwan Bule akhirnya diperiksa nih~

Apa aja materinya? Coba deh simak di ar… https://t.co/u18c1kuP2D";0
31;31;"Masa harus ditunda-tunda lagi seh heu~

| Narasi Daily https://t.co/OQMLHj8yB9";0
32;32;Padahal yang kubutuhkan cuma realitas hidup indahku bersamanya. Kira-kira VR Quest Pro ini bisa bantu mewujudkan ng… https://t.co/7QqR36r3fk;0
33;33;Impian Nanda untuk bertanding sepak bola dengan kawannya, Revano sirna. Semua itu harus pupus karena satu hal: Peri… https://t.co/HJmUfvh161;0
34;34;"Selain itu, lokasi kantor Satlantas Polres Bintan dengan pemukiman masyarakat lumayan jauh.

Nantinya, pemohon SIM… https://t.co/d1EI2ZpaXJ";0
35;35;"“Nanti kita akan jemput menggunakan bus,” jelas Kasat Lantas Polres Bintan AKP Khapandi.

Layanan antar jemput peng… https://t.co/F41AN6JucP";0
36;36;Satlantas Polres Bintan membuat pelayanan baru berupa antar-jemput untuk masyarakat yang hendak melakukan pengurusa… https://t.co/SntsKZ8iAy;0
37;37;"Tapi kalo dibayangin agak serem keknya yha🙈

| Narasi Daily https://t.co/CQjC6SDIrU";0
38;38;"Kalau di sini polisinya patroli pakai tuktuk gimana ya, gengs? 🤔

| Narasi Daily https://t.co/HXiBi1tg6L";0
39;39;Survei juga bilang polisi dan penyelenggara liga yang paling bertanggung jawab atas tragedi Kanjuruhan. Mau ngeles… https://t.co/2Gvq14ulS6;0
40;40;Salah satu tersangka, AKP Irfan widyanto menutup sidang obstruction of justice Rabu (19/10). Pihaknya bakal membawa… https://t.co/u5rV003mWp;0
41;41;"Jumlah korban gagal ginjal akut yang menyerang balita makin mengkhawatirkan.

Ada tiga zat berbahaya dalam obat sir… https://t.co/AoYQYqPnu4";0
42;42;"Serem banget drone ‘Kamikaze’ Rusia, sekali mengunci target bakal sulit lepas 😮 

| Tech It Easy https://t.co/rTx3LrbvZj";0
43;43;Aturan ini diprotes banyak pihak karena dinilai mengekang kebebasan berekspresi. Ada juga kekhawatiran soal impleme… https://t.co/ugLGfhEsHT;0
44;44;Kemenkes melaporkan total kumulatif kasus gangguan ginjal akut progresif atipikal di Indonesia mencapai 206 orang.… https://t.co/FG8fcRGWdu;0
45;45;Australia tadinya mengakui Yerusalem sebagai ibu kota Israel, sekarang balik mengakui kalau ibu kota Israel itu Tel… https://t.co/poRVeYm0L9;1
46;46;"Masih ada aja ya guru aniaya murid di sekolah, padahal harusnya tuh tahu kalo itu melanggar hukum. 🤦🏼

| Narasi Dai… https://t.co/BbkmDkB3Om";0
47;47;"Ferdy Sambo menegaskan “pastikan semua sudah bersih”. 

Ckckck semudah itu memusnahkan barang bukti 😟
https://t.co/XG033FgsRW";1
48;48;"Segitu banyak video yang beredar di media sosial kurang ya? 🙄
 
Tonton #NarasiPagi di https://t.co/rZFjt9WZDr | Nar… https://t.co/bdHvyHQrzr";0
49;49;Padahal banyak banget rekaman video di media sosial yang nunjukkin beberapa tembakan gas air mata diarahkan ke trib… https://t.co/3gbb6pGxWJ;0
50;50;Dalam surat dakwaan, amplop berisi uang Rp1 miliar itu udah dikasih ke Bharada Eliezer tapi akhirnya diambil lagi o… https://t.co/2bYMS4o65b;1
51;51;Dalam sidang obstruction of justice hari ini, pengacara dari Hendra Kurniawan juga tak mengajukan eksepsi atas dakw… https://t.co/F0ucQD2fMs;1
52;52;Api baru padam sekitar pukul 18.00 WIB dan dalam proses pendinginan. Dalam kebakaran ini, sejumlah 21 unit mobil pe… https://t.co/UIpmCEgyGI;0
53;53;Kebakaran ini bermula ketika pekerja bangunan merenovasi kubah masjid. Pekerja bangunan melelehkan membran water-pr… https://t.co/ujwSOwkgiS;0
54;54;Kubah Masjid Jakarta Islamic Center, Koja, Jakarta Utara hangus terbakar pada Rabu (19/10/2022). Kobaran api mulai… https://t.co/FwS1LEjld0;0
55;55;"Gimana nih menurutmu? Bakal efektif enggak penggunaan drone untuk tilang? 

Reply dong di bawah 👇

| Tech It Easy https://t.co/oZzAMGMW6d";0
56;56;Pesawat tempur Rusia yang lagi latihan terbang jatuh dan terbakar di daerah pemukiman. Kobaran apinya besar banget… https://t.co/a6459D5c1o;0
57;57;"Semoga makin gencar deh transisi ke energi terbarukan, apalagi buat memenuhi kebutuhan listrik lokal.

Menurutmu gi… https://t.co/tdNeoq5PDR";0
58;58;"Polda Jawa Timur bilang autopsi korban Kanjuruhan batal karena keluarga tidak berekenan. 

https://t.co/JMyKN9bVGT";0
59;59;"Selain di Jabodetabek, banjir dan longsor di Bali juga memakan korban saking parahnya 😭😭

Banjir di mana-mana 😢 | N… https://t.co/dORuiAB7kp";0
60;60;"Lindungi korban ❌
Lindungi tersangka ✅

https://t.co/zrbQxKB3Pi";1
61;61;"Pihak Bechi bilang, tuntutan 16 tahun penjara itu hal yang sadis dan enggak sesuai sama fakta sidang. 

| Narasi Da… https://t.co/6U8gA4KLYe";1
62;62;“Dalam arahannya FIFA akan mendukung PSSI. Bersama dengan pemerintah, FIFA, dan PSSI akan bekerja sama untuk pemben… https://t.co/RjT5IK6WTr;0
63;63;Kemarin, Iwan Bule enggak bisa datang memenuhi panggilan penyidik Polda Jawa Timur. Alasannya, Iwan menghadiri sebu… https://t.co/Qn2MuaALyQ;0
64;64;"""Yang berhak meminta KLB itu anggota PSSI, para voter. Pemerintah tidak bisa mencampuri hal itu,"" ujar Anggota Komi… https://t.co/3hRUzlanfR";0
65;65;Langkah ini berarti menganulir kebijakan mantan perdana menteri Australia Scott Morrison pada 2018 silam. Sekarang,… https://t.co/eEr5EzEZE3;1
66;66;Bisa-bisanya lagi suasana duka, korban Kanjuruhan berjatuhan, tapi Ketua Umum PSSI dan Presiden FIFA malah main bol… https://t.co/zhUa4IoHvH;0
67;67;"PSSI enggak diajak Pak Jokowi ngobrol bareng FIFA di Istana. 

Alasannya ini👇🏻

https://t.co/MzgtsvVA8l";1
68;68;Enam tersangka lain selain Hendra adalah Ferdy Sambo (sudah dipecat dari anggota Polri), Komisaris Besar Agus Nur P… https://t.co/DPWniR0FiL;1
69;69;Hendra Kurniawan adalah salah satu dari tujuh tersangka obstruction of justice kasus pembunuhan Brigadir J. Dia dic… https://t.co/Bbyy4Iusw3;1
70;70;Pejabat Humas PN Jaksel Djuyamto bilang sidang akan dibagi menjadi dua sesi dengan dua majelis hakim. Sesi pertama… https://t.co/g235HqVj37;1
71;71;Pengadilan Negeri (PN) Jakarta Selatan memulai sidang perdana kasus obstruction of justice atau perintangan proses… https://t.co/WhdCr1Qb4c;1
72;72;Alasaannya, Iwan Bule masih ada agenda lain. Semoga enggak ditunda lagi deh pemeriksaannya, korbannya udah bertamba… https://t.co/8XEAFrp3zs;1
73;73;Kenapa saat itu Putri minta Brigadir Yosua resign? Bukankah Polri bisa saja memecat kalo memang terbukti melanggar… https://t.co/KwZ2HCqywJ;1
74;74;"Kok langsung minta bebas🤦🏼

Menurut pakar, kalo eksepsi Ferdy Sambo diterima tuh artinya bakal dibuat dakwaan yang… https://t.co/XfsPtcO8KK";1
75;75;"Daripada cuci uang mending cuci baju sono udah numpuk noh hadeh~

| Buka Data https://t.co/AxmVcgY51N";1
76;76;Sedangkan dari segi alinyemen jalan yang juga diinvestigasi, KNKT menyebut geometrk Jalan Transyogi masih sesuai re… https://t.co/O4PzrFD9SF;0
77;77;Namun, setelah tol tersebut keluar dari Tol Cibubur, sopir tersebut baru merasakan jika rem truk kurang pakem setel… https://t.co/0pKQqVlFLl;0
78;78;Berdasarkan hasil investigasi dan temuan KNKT, sopir sebenarnya sudah memeriksa kondisi truk sebelum berangkat dan… https://t.co/kNBdx0b2Ap;0
79;79;Rem yang kurang pakem jadi salah penyebab kecelakaan yang melibatkan truk tangki Pertamina dan menewaskan 10 orang… https://t.co/lU1WD3fhJx;0
80;80;"Setelah tenar lalu menghilang, eh ada yang tau-tau muncul lagi nih~

Pada masih inget nga ni👀

| Narasi Daily https://t.co/whU0iWKgid";0
81;81;"Banyak juga ya Rp5,4 juta, tapi yang terpenting sih skema BLT ini menyesuaikan penghasilan warganya 🤔

| Narasi Dai… https://t.co/4MfNZfB7a7";0
82;82;Pengacara Eliezer, Ronny Talapessy, sendiri tak mengajukan eksepsi atau nota keberatan atas dakwaan yang disampaika… https://t.co/yszwZzRaxA;1
83;83;Hari ini, gantian Richard Eliezer yang melaksanakan sidang perdana atas kasus pembunuhan Brigadir Yosua di Pengadil… https://t.co/iuqdjZSpno;1
84;84;"Korban meninggal peristiwa Kanjuruhan bertambah lagi, kini totalnya 133 orang. 😢 

https://t.co/K3KJF2vXRD";0
85;85;"Bakal gimana ya hasil transformasi dan reformasi sepak bola di Indonesia ini? 🤔

| Narasi Daily https://t.co/MfpJDnsagO";0
86;86;"""Dengan manajemen stadion, utamanya yang berkaitan dengan fasilitas2 di stadion, standarnya seperti apa. Yang kedua… https://t.co/Jyu2d01mGR";0
87;87;Stadion Kanjuruhan akan diruntuhkan dan dibangun kembali. Gagasan ini disampaikan Presiden Jokowi ke Presiden FIFA… https://t.co/8f6gAu4z6I;0
88;88;"Putri Candrawathi, sih, ngakunya enggak paham dakwaan yang disampaikan JPU. Menurutmu gimana?🤔

| Narasi Daily https://t.co/u9OdTI5u6M";1
89;89;Berbeda dengan Ferdy Sambo, Bharada Richard Eliezer Pudihang Lumiu alias Bharada E memilih enggak mengajukan ekseps… https://t.co/PV7hKpVCXC;1
90;90;"Oo tiga periode... Kaya familiar 🤔🧐

| Narasi Daily https://t.co/YFOrmMyeLe";1
91;91;"Richard Eliezer mengaku menyesal dan meminta maaf kepada keluarga Brigadir Yosua saat sidang perdananya. 

Simak se… https://t.co/J3vUGsqbK7";1
92;92;Wakil Kepala Polresta Bogor Kota AKBP Ferdy Irawan bilang tembakan terpaksa dilakukan karena ketiga remaja itu meng… https://t.co/7IJyZjOYIk;1
93;93;"Setelah dibacakan, Pengacara Richard Eliezer enggak mengajukan nota keberatan atas dakwaan Jaksa Penuntut Umum.
https://t.co/1maXrZbpqu";1
94;94;“Saya sangat menyesali perbuatan saya, namun saya hanya ingin menyatakan bahwa saya hanyalah seorang anggota yang t… https://t.co/OcOyCE1SXU;1
95;95;"Kenapa sih maksa banget jadwal pertandingan di Kanjuruhan diadakan malam hari? 🤨 

Baca deh hasil laporan TGIPF yan… https://t.co/bucW8JJQXO";1
96;96;Kelima terdakwa dalam kasus pembunuhan Yosua tersebut, didakwa melanggar Pasal 340 subsider Pasal 338 juncto Pasal… https://t.co/RWeMQ8YwrA;1
97;97;Lembaga Perlindungan Saksi dan Korban (LPSK) mengabulkan permohonan Richard Eliezer menjadi justice collaborator da… https://t.co/75IHbYMQdO;1
98;98;Eliezer beserta Ferdy Sambo, Putri Candrawathi, Ricky Rizal, dan Kuat Ma'ruf didakwa melakukan pembunuhan berencana… https://t.co/t9THUPByRE;1
99;99;Sidang perdana Bharada Richard Eliezer Pudihang Lumiu atau Bharada E akan kasus dugaan pembunuhan berencana Brigadi… https://t.co/zy2KXx0tyk;1
